Id,Date,Open,High,Low,Close,Volume,SMA (5 days),SMA (10 days),SMA (30 days),Close > SMA5,Close > SMA10,Close > SMA30,SMA 5 > SMA 10,V>Volume Avg,Vol1 > Vol0,Vol1 > Vol0*1.2,SMA 10 > SMA 30,SMA 5>SMA 30,SMA 5 > SMA 10 > SMA 30,Close Higher
1,2/25/2005,104.77,106,104.68,105.79,70221808,,,,1,1,1,1,0,0,0,0,0,0,1
2,2/28/2005,105.55,105.68,104.56,105.08,79695344,,,,1,1,1,1,0,1,0,0,0,0,0
3,3/1/2005,105.22,105.87,105.22,105.62,54607412,,,,1,1,1,1,0,0,0,0,0,0,1
4,3/2/2005,105.21,106.22,105.1,105.57,73733090,,,,1,1,0,0,0,1,1,0,0,0,1
5,3/3/2005,105.99,106.2,105.15,105.61,71286823,105.534,,,1,1,0,0,0,0,0,0,1,0,0
6,3/4/2005,106.31,107.01,106.1,106.93,64483624,105.762,,,1,1,0,0,1,0,0,0,1,0,1
7,3/7/2005,106.86,107.38,106.62,106.97,50288014,106.14,,,0,1,1,0,1,0,0,0,1,0,1
8,3/8/2005,106.87,107.15,106.36,106.55,51274973,106.326,,,0,1,1,0,1,1,0,0,1,0,0
9,3/9/2005,106.25,106.52,105.38,105.39,84491113,106.29,,,0,1,1,0,1,1,1,0,1,0,0
10,3/10/2005,105.4,105.85,104.89,105.62,74962248,106.292,105.913,,0,0,1,0,0,0,0,1,1,0,1
11,3/11/2005,105.88,106.04,104.66,104.88,66729930,105.882,105.822,,0,0,1,0,0,0,0,1,1,0,0
12,3/14/2005,104.89,105.56,104.78,105.54,41713280,105.596,105.868,,1,0,1,1,0,0,0,1,1,1,1
13,3/15/2005,105.78,105.82,104.6,104.65,71730138,105.216,105.771,,1,1,1,1,0,1,1,1,1,1,0
14,3/16/2005,104.27,104.44,103.59,103.77,88074366,104.892,105.591,,1,1,1,1,0,1,1,1,1,1,0
15,3/17/2005,103.94,104.31,103.65,103.99,72019178,104.566,105.429,,1,1,1,1,0,0,0,1,1,1,1
16,3/18/2005,103.75,104.13,102.93,103.26,71037158,104.242,105.062,,1,1,1,1,0,0,0,1,1,1,0
17,3/21/2005,103.42,103.48,102.59,102.89,70515555,103.712,104.654,,1,1,1,1,0,0,0,1,1,1,0
18,3/22/2005,103.11,103.6,101.85,101.85,107137486,103.152,104.184,,1,1,1,1,0,1,1,1,1,1,0
19,3/23/2005,101.87,102.56,101.71,101.93,82588253,102.784,103.838,,1,1,1,1,0,0,0,1,1,1,1
20,3/24/2005,102.33,102.79,101.98,102.05,59713798,102.396,103.481,,1,1,1,1,0,0,0,1,1,1,0
21,3/28/2005,102.29,102.75,102.19,102.19,53885043,102.182,103.212,,1,1,1,1,0,0,0,1,1,1,0
22,3/29/2005,102.05,102.71,101.27,101.51,83849903,101.906,102.809,,1,1,1,1,0,1,1,1,1,1,0
23,3/30/2005,101.85,102.98,101.72,102.96,72199510,102.128,102.64,,1,1,1,1,0,0,0,1,1,1,1
24,3/31/2005,102.97,103.19,102.68,102.77,74669192,102.296,102.54,,1,1,1,1,0,1,0,1,1,1,0
25,4/1/2005,103.34,103.66,101.85,102.3,111800673,102.346,102.371,,1,1,1,1,0,1,1,1,1,1,0
26,4/4/2005,102.24,102.67,101.7,102.48,82200501,102.404,102.293,,1,1,1,0,0,0,0,1,1,0,1
27,4/5/2005,102.6,103.12,102.52,102.97,57487581,102.696,102.301,,1,1,1,0,0,0,0,1,1,0,1
28,4/6/2005,103.19,103.62,102.96,103.32,61195953,102.768,102.448,,1,1,1,0,0,1,0,1,1,0,1
29,4/7/2005,103.15,103.89,103.06,103.87,54209783,102.988,102.642,,1,1,1,0,0,0,0,1,1,0,1
30,4/8/2005,103.81,103.85,102.8,102.8,73804604,103.088,102.717,104.037,1,1,0,0,0,1,1,1,0,0,0
31,4/11/2005,103.04,103.16,102.65,102.89,52639928,103.17,102.787,103.9403333,1,1,0,0,0,0,0,1,0,0,0
32,4/12/2005,102.7,103.72,101.98,103.41,99373733,103.258,102.977,103.8846667,1,1,0,0,0,1,1,1,0,0,1
33,4/13/2005,103.28,103.5,102.04,102.18,75829826,103.03,102.899,103.77,1,1,0,0,0,0,0,1,0,0,0
34,4/14/2005,102.31,102.37,100.86,100.86,114379408,102.428,102.708,103.613,1,1,0,1,0,1,1,1,0,1,0
35,4/15/2005,100.83,101.22,99.399,99.439,153892870,101.7558,102.4219,103.4073,1,1,0,1,0,1,1,1,0,1,0
36,4/18/2005,99.419,100.15,99.269,99.75,115154806,101.1278,102.1489,103.1679667,1,1,0,1,0,0,0,1,0,1,1
37,4/19/2005,100.27,100.8,100.04,100.55,78518182,100.5558,101.9069,102.9539667,1,1,0,1,0,0,0,1,0,1,1
38,4/20/2005,100.54,100.73,98.916,99.12,131823084,99.9438,101.4869,102.7063,1,1,0,1,0,1,1,1,0,1,0
39,4/21/2005,100,101.23,99.64,101.06,100403045,99.9838,101.2059,102.5619667,1,1,0,1,0,0,0,1,0,1,1
40,4/22/2005,100.83,101.48,99.55,100.68,103125842,100.232,100.9939,102.3973,1,1,0,1,0,1,0,1,0,1,0
41,4/25/2005,100.94,101.48,100.81,101.33,60109934,100.548,100.8379,102.2789667,1,1,0,1,0,0,0,1,0,1,1
42,4/26/2005,101.03,101.72,100.31,100.36,86510249,100.51,100.5329,102.1063,1,1,0,1,0,1,1,1,0,1,0
43,4/27/2005,100.07,101.11,99.7,100.75,97784824,100.836,100.3899,101.9763,1,1,0,0,0,1,0,1,0,0,1
44,4/28/2005,100.42,100.78,99.488,99.488,85253199,100.5216,100.2527,101.8335667,1,1,0,0,0,0,0,1,0,0,0
45,4/29/2005,100.25,100.95,99.279,100.84,119708368,100.5536,100.3928,101.7285667,1,1,0,0,0,1,1,1,0,0,1
46,5/2/2005,101.11,101.4,100.65,101.4,64351500,100.5676,100.5578,101.6665667,1,1,0,0,0,0,0,1,0,0,1
47,5/3/2005,101.11,101.8,100.78,101.58,99768723,100.8116,100.6608,101.6229,1,1,0,0,0,1,1,1,0,0,1
48,5/4/2005,101.61,102.58,101.29,102.37,94687011,101.1356,100.9858,101.6402333,1,1,1,0,0,0,0,1,0,0,1
49,5/5/2005,102.52,102.8,101.7,102.33,111716417,101.704,101.1128,101.6535667,1,1,1,0,0,1,0,1,1,0,0
50,5/6/2005,102.74,102.79,101.98,102,79897373,101.936,101.2448,101.6519,1,1,1,0,0,0,0,1,1,0,0
51,5/9/2005,102.12,102.88,101.97,102.64,50480401,102.184,101.3758,101.6669,1,1,1,0,0,0,0,1,1,0,1
52,5/10/2005,102.24,102.37,101.39,101.58,86131214,102.184,101.4978,101.6692333,1,1,0,0,0,1,1,1,1,0,0
53,5/11/2005,101.86,102.27,100.93,102.14,105653263,102.138,101.6368,101.6419,1,1,1,0,0,1,1,1,1,0,1
54,5/12/2005,102.2,102.44,100.55,101.02,109708871,101.876,101.79,101.5835667,1,1,0,0,0,1,0,1,1,0,0
55,5/13/2005,101.3,101.58,100.01,100.81,98078796,101.638,101.787,101.5339,1,1,0,1,0,0,0,1,1,1,0
56,5/16/2005,100.79,101.79,100.76,101.75,56650079,101.46,101.822,101.5095667,1,1,1,1,0,0,0,1,0,1,1
57,5/17/2005,101.42,102.54,101.19,102.43,70500172,101.63,101.907,101.4915667,1,1,1,1,0,1,1,1,1,1,1
58,5/18/2005,102.87,103.73,102.81,103.49,89597157,101.9,102.019,101.4972333,1,1,1,1,0,1,1,1,1,1,1
59,5/19/2005,103.68,104.03,103.41,103.92,72144985,102.48,102.178,101.4989,1,1,1,0,0,0,0,1,1,0,1
60,5/20/2005,103.97,104.01,103.45,103.77,53290553,103.072,102.355,101.5312333,1,1,1,0,0,0,0,1,1,0,0
61,5/23/2005,103.85,104.56,103.83,104.35,58880085,103.592,102.526,101.5799,1,1,1,0,0,1,0,1,1,0,1
62,5/24/2005,104.05,104.4,103.84,104.11,58541801,103.928,102.779,101.6032333,1,1,1,0,0,0,0,1,1,0,1
63,5/25/2005,103.98,104.43,103.53,104.03,55654056,104.036,102.968,101.6649,1,1,1,0,0,0,0,1,1,0,1
64,5/26/2005,104.36,104.71,104.21,104.57,50000813,104.166,103.323,101.7885667,1,1,1,0,0,0,0,1,1,0,1
65,5/27/2005,104.58,104.75,104.37,104.75,28285839,104.362,103.717,101.9656,1,1,1,0,0,0,0,1,1,0,1
66,5/31/2005,104.6,104.67,104.02,104.09,51576176,104.31,103.951,102.1102667,1,1,1,0,0,1,1,1,1,0,0
67,6/1/2005,104.13,105.35,104.06,104.98,80220046,104.484,104.206,102.2579333,1,1,1,0,0,1,1,1,1,0,1
68,6/2/2005,104.73,105.28,104.62,105.21,46472544,104.72,104.378,102.4609333,1,1,1,0,0,0,0,1,1,0,1
69,6/3/2005,105.02,105.33,104.3,104.65,70082917,104.736,104.451,102.5806,1,1,1,0,0,1,1,1,1,0,0
70,6/6/2005,104.55,104.7,104.15,104.56,41705131,104.698,104.53,102.7099333,1,1,1,0,0,0,0,1,1,0,1
71,6/7/2005,104.88,105.63,104.55,104.64,76554832,104.808,104.559,102.8202667,1,1,1,0,0,1,1,1,1,0,0
72,6/8/2005,104.92,105.06,104.25,104.46,57421343,104.704,104.594,102.9569333,1,1,1,0,0,0,0,1,1,0,0
73,6/9/2005,104.31,105.05,104.05,104.96,65622218,104.654,104.687,103.0972667,1,1,1,1,0,1,0,1,1,1,1
74,6/10/2005,105.03,105.1,104.2,104.7,41903028,104.664,104.7,103.271,1,1,1,1,0,0,0,1,1,1,0
75,6/13/2005,104.49,105.48,104.38,105.05,56824332,104.762,104.73,103.4113333,1,1,1,0,0,1,1,1,1,0,1
76,6/14/2005,104.94,105.6,104.87,105.3,39030087,104.894,104.851,103.5413333,1,1,1,0,0,0,0,1,1,0,1
77,6/15/2005,105.56,105.62,104.73,105.49,61861730,105.1,104.902,103.6716667,1,1,1,0,0,1,1,1,1,0,0
78,6/16/2005,105.49,105.97,105.35,105.76,53565469,105.26,104.957,103.7846667,1,1,1,0,0,0,0,1,1,0,1
79,6/17/2005,105.88,106.2,104.97,105.74,61706880,105.468,105.066,103.8983333,1,1,1,0,0,1,0,1,1,0,0
80,6/20/2005,105.48,106.15,105.37,105.76,48482844,105.61,105.186,104.0236667,1,1,1,0,0,0,0,1,1,0,1
81,6/21/2005,105.85,105.98,105.44,105.83,45985268,105.716,105.305,104.13,1,1,1,0,0,0,0,1,1,0,0
82,6/22/2005,106.01,106.22,105.48,105.91,53588199,105.8,105.45,104.2743333,0,1,1,0,0,1,0,1,1,0,0
83,6/23/2005,105.7,105.93,104.4,104.42,72108710,105.532,105.396,104.3503333,1,1,1,0,0,1,1,1,1,0,0
84,6/24/2005,104.44,104.55,103.54,103.65,67944626,105.114,105.291,104.438,1,1,0,1,0,0,0,1,1,1,0
85,6/27/2005,103.64,104.03,103.46,103.8,58730861,104.722,105.166,104.5376667,1,1,0,1,0,0,0,1,1,1,1
86,6/28/2005,104.02,104.74,104,104.65,48919959,104.486,105.101,104.6343333,1,1,1,1,0,0,0,1,0,1,1
87,6/29/2005,104.86,104.89,104.33,104.4,49427561,104.184,104.992,104.7,1,1,0,1,0,1,0,1,0,1,0
88,6/30/2005,104.72,104.81,103.62,103.82,71517780,104.064,104.798,104.711,1,1,0,1,0,1,1,1,0,1,0
89,7/1/2005,104.06,104.37,103.85,104.13,57149525,104.16,104.637,104.718,1,1,0,1,0,0,0,1,0,1,1
90,7/5/2005,104.04,105.1,103.83,104.97,59176127,104.394,104.558,104.758,1,1,1,1,0,1,0,1,0,1,1
91,7/6/2005,104.88,105.1,104.03,104.09,62066971,104.282,104.384,104.7493333,1,1,0,1,0,1,0,1,0,1,0
92,7/7/2005,103.04,104.5,103.03,104.5,118541310,104.302,104.243,104.7623333,1,1,0,0,0,1,1,1,0,0,1
93,7/8/2005,104.52,105.7,104.29,105.7,74097316,104.678,104.371,104.818,1,1,1,0,0,0,0,1,0,0,1
94,7/11/2005,105.71,106.35,105.69,106.22,57133225,105.096,104.628,104.873,1,1,1,0,0,0,0,1,1,0,1
95,7/12/2005,106.19,106.83,105.97,106.49,59885291,105.4,104.897,104.931,1,1,1,0,0,1,0,1,1,0,1
96,7/13/2005,106.5,106.73,106.26,106.65,47405204,105.912,105.097,105.0163333,0,1,1,0,0,0,0,1,1,0,1
97,7/14/2005,107.09,107.55,106.7,107.09,74355821,106.43,105.366,105.0866667,0,1,1,0,0,1,1,1,1,0,0
98,7/15/2005,106.97,107.19,106.58,107.02,64440233,106.694,105.686,105.147,0,1,1,0,0,0,0,1,1,0,1
99,7/18/2005,106.71,106.83,106.31,106.57,65265797,106.764,105.93,105.211,0,0,1,0,0,1,0,1,1,0,0
100,7/19/2005,106.91,107.25,106.63,107.17,68316082,106.9,106.15,105.298,0,0,1,0,0,1,0,1,1,0,1
